Sıcaklık (°C),Nem (%),Rüzgar (km/h),Gun,Kiralanan Bisiklet
19.4,31.9,21.1,0,95.0
33.8,68.2,7.1,1,164.0
28.3,48.9,9.0,1,137.0
25.0,60.5,27.5,1,126.0
13.9,84.5,20.2,0,49.0
13.9,45.0,5.2,0,64.0
11.5,54.6,7.5,0,62.0
31.7,75.3,21.6,1,135.0
25.0,43.7,5.1,1,148.0
27.7,34.6,9.0,1,164.0
10.5,47.4,18.7,0,72.0
34.2,39.7,22.3,1,140.0
30.8,85.8,21.3,1,167.0
15.3,78.5,10.6,1,72.0
14.5,68.0,22.8,1,88.0
14.6,82.3,10.9,0,67.0
17.6,78.2,13.1,0,70.0
23.1,41.2,23.7,1,114.0
20.8,83.6,21.2,0,63.0
17.3,62.4,26.2,0,50.0
25.3,78.4,21.4,1,112.0
13.5,83.8,19.2,1,99.0
17.3,49.1,7.3,0,85.0
19.2,36.6,14.2,1,112.0
21.4,43.7,11.6,0,103.0
29.6,55.6,11.1,1,156.0
15.0,79.1,29.3,0,54.0
22.9,81.6,14.8,1,129.0
24.8,30.4,27.3,0,76.0
11.2,60.6,20.8,0,36.0
25.2,55.0,24.9,0,95.0
14.3,43.3,17.6,1,111.0
11.6,37.2,19.4,0,54.0
33.7,50.3,17.3,0,120.0
34.1,86.6,9.9,1,176.0
30.2,49.4,23.1,1,134.0
17.6,61.1,12.0,0,81.0
12.4,72.2,5.6,0,57.0
27.1,51.8,21.1,1,131.0
21.0,88.3,9.4,1,134.0
13.1,87.7,28.5,1,87.0
22.4,45.1,28.8,1,127.0
10.9,59.8,27.9,1,96.0
32.7,48.1,14.3,0,120.0
16.5,47.1,5.4,1,130.0
26.6,32.2,28.2,0,87.0
17.8,66.6,15.7,0,73.0
23.0,60.2,29.2,0,70.0
23.7,33.1,29.1,1,124.0
14.6,46.7,26.3,0,62.0
34.2,84.5,12.4,0,103.0
29.4,44.4,14.6,1,182.0
33.5,38.7,26.3,0,97.0
32.4,59.4,12.9,0,98.0
24.9,89.1,9.2,1,146.0
33.0,44.5,18.9,0,129.0
12.2,70.3,28.4,0,46.0
14.9,75.7,22.4,0,59.0
11.1,44.3,19.3,1,91.0
18.1,73.7,7.4,1,101.0
19.7,52.1,20.4,1,114.0
16.8,67.9,29.8,0,40.0
30.7,68.0,8.5,0,128.0
18.9,62.1,18.0,1,108.0
17.0,35.4,26.9,0,51.0
23.6,80.1,23.5,0,68.0
13.5,49.2,22.4,1,100.0
30.1,41.2,22.6,1,137.0
11.9,32.4,14.0,0,50.0
34.7,65.5,12.3,0,126.0
29.3,70.7,25.2,0,95.0
15.0,31.0,25.3,1,93.0
10.1,60.7,26.7,1,68.0
30.4,43.6,27.8,1,144.0
27.7,68.7,17.8,1,113.0
28.2,40.5,17.5,0,84.0
29.3,71.5,25.0,1,121.0
11.9,53.2,21.2,1,85.0
19.0,86.2,22.5,1,103.0
12.9,38.3,24.9,1,114.0
31.6,50.5,27.3,1,155.0
25.6,36.8,13.4,0,100.0
18.3,85.5,14.4,0,65.0
11.6,82.6,7.3,1,78.0
17.8,45.5,19.5,0,70.0
18.1,69.6,5.9,1,113.0
28.2,79.0,16.6,1,139.0
25.9,63.3,18.6,0,78.0
32.2,61.8,12.2,0,124.0
21.8,44.5,19.8,1,145.0
13.0,35.6,5.8,1,111.0
27.8,83.8,5.9,1,148.0
29.0,84.0,25.6,0,97.0
24.0,68.0,14.0,1,122.0
29.3,50.3,8.2,1,158.0
22.3,51.0,18.1,1,124.0
23.1,73.6,24.2,0,74.0
20.7,83.8,10.4,1,105.0
10.6,83.2,20.6,1,77.0
12.7,76.8,7.1,0,65.0
